vbo_id	term_label	LBO ID	source_for_xref1	LBO name	LBO ID	LBO synonyms	LBO ID	other_synonym_1	source_for_synonym_1	other_synonym_2	source_for_synonym_2	other_synonym_3	source_for_synonym_3	description_of_origin	source_for_description_of_origin
VBO:0000115	Australian Friesian Sahiwal (Cattle)	LBO:0000026	https://orcid.org/0000-0002-5002-8648	Australian Friesian Sahiwal	LBO:0000026										
VBO:0000117	Australian Lowline (Cattle)	LBO:0000027	https://orcid.org/0000-0002-5002-8648	Australian Lowline	LBO:0000027										
VBO:0000118	Australian Milking Zebu (Cattle)	LBO:0000028	https://orcid.org/0000-0002-5002-8648	Australian Milking Zebu	LBO:0000028										
VBO:0000120	Ayrshire (Cattle)	LBO:0000029	https://orcid.org/0000-0002-5002-8648	Ayrshire	LBO:0000029										
VBO:0000121	Azaouak (Cattle)	LBO:0000030	https://orcid.org/0000-0002-5002-8648	Azaouak	LBO:0000030										
VBO:0000130	Barka (Cattle)	LBO:0000034	https://orcid.org/0000-0002-5002-8648	Barka	LBO:0000034										
VBO:0000132	Bazadais (Cattle)	LBO:0000036	https://orcid.org/0000-0002-5002-8648	Bazadais	LBO:0000036										
VBO:0000133	Bearnais (Cattle)	LBO:0000037	https://orcid.org/0000-0002-5002-8648	Bearnais	LBO:0000037										
VBO:0000137	Beefalo (Cattle)	LBO:0000038	https://orcid.org/0000-0002-5002-8648	Beefalo	LBO:0000038										
VBO:0000138	Beefmaster (Cattle)	LBO:0000040	https://orcid.org/0000-0002-5002-8648	Beefmaster	LBO:0000040										
VBO:0000139	Belgian Blue (Cattle)	LBO:0000042	https://orcid.org/0000-0002-5002-8648	Belgian Blue	LBO:0000042										
VBO:0000141	Belmont Red (Cattle)	LBO:0000045	https://orcid.org/0000-0002-5002-8648	Belmont Red	LBO:0000045										
VBO:0000142	Belted Galloway (Cattle)	LBO:0000046	https://orcid.org/0000-0002-5002-8648	Belted Galloway	LBO:0000046										
VBO:0000143	Bengali (Cattle)	LBO:0000047	https://orcid.org/0000-0002-5002-8648	Bengali	LBO:0000047										
VBO:0000145	Bhagnari (Cattle)	LBO:0000049	https://orcid.org/0000-0002-5002-8648	Bhagnari	LBO:0000049										
VBO:0000151	Blonde d'Aquitaine (Cattle)	LBO:0000053	https://orcid.org/0000-0002-5002-8648	Blonde d'Aquitaine	LBO:0000053										
VBO:0000155	Bonsmara (Cattle)	LBO:0000054	https://orcid.org/0000-0002-5002-8648	Bonsmara	LBO:0000054										
VBO:0000156	Boran (Cattle)	LBO:0000055	https://orcid.org/0000-0002-5002-8648	Boran	LBO:0000055										
VBO:0000158	Braford (Cattle)	LBO:0000057	https://orcid.org/0000-0002-5002-8648	Braford	LBO:0000057										
VBO:0000159	Brahman (Cattle)	LBO:0000058	https://orcid.org/0000-0002-5002-8648	Brahman	LBO:0000058										
VBO:0000160	brand name Carinthian Blond (Cattle)	LBO:0000069	https://orcid.org/0000-0002-5002-8648	Carinthian Blond	LBO:0000069										
VBO:0000161	Brangus (Cattle)	LBO:0000060	https://orcid.org/0000-0002-5002-8648	Brangus	LBO:0000060										
VBO:0000163	British White (Cattle)	LBO:0000062	https://orcid.org/0000-0002-5002-8648	British White	LBO:0000062										
VBO:0000166	Brown Swiss (Cattle)	LBO:0000063	https://orcid.org/0000-0002-5002-8648	Brown Swiss	LBO:0000063										
VBO:0000167	Buša (Cattle)	LBO:0000064	https://orcid.org/0000-0002-5002-8648	Busa	LBO:0000064										
VBO:0000172	Caucasian (Cattle)	LBO:0000070	https://orcid.org/0000-0002-5002-8648	Caucasian	LBO:0000070										
VBO:0000176	Charbray (Cattle)	LBO:0000072	https://orcid.org/0000-0002-5002-8648	Charbray	LBO:0000072										
VBO:0000177	Charolais (Cattle)	LBO:0000073	https://orcid.org/0000-0002-5002-8648	Charolais	LBO:0000073										
VBO:0000178	Chianina (Cattle)	LBO:0000074	https://orcid.org/0000-0002-5002-8648	Chianina	LBO:0000074										
VBO:0000191	Danish Red (Cattle)	LBO:0000085	https://orcid.org/0000-0002-5002-8648	Danish Red	LBO:0000085										
VBO:0000192	Devon (Cattle)	LBO:0000087	https://orcid.org/0000-0002-5002-8648	Devon	LBO:0000087										
VBO:0000193	Dexter (Cattle)	LBO:0000088	https://orcid.org/0000-0002-5002-8648	Dexter	LBO:0000088										
VBO:0000196	Droughtmaster (Cattle)	LBO:0000091	https://orcid.org/0000-0002-5002-8648	Droughtmaster	LBO:0000091										
VBO:0000197	Dutch Belted (Cattle)	LBO:0000093	https://orcid.org/0000-0002-5002-8648	Dutch Belted	LBO:0000093										
VBO:0000198	Dutch Friesian (Cattle)	LBO:0000094	https://orcid.org/0000-0002-5002-8648	Dutch Friesian	LBO:0000094										
VBO:0000200	Estonian Red (Cattle)	LBO:0000098	https://orcid.org/0000-0002-5002-8648	Estonian Red	LBO:0000098										
VBO:0000203	Fighting Bull (Cattle)	LBO:0000100	https://orcid.org/0000-0002-5002-8648	Fighting Bull	LBO:0000100										
VBO:0000206	Galician Blond (Cattle)	LBO:0000105	https://orcid.org/0000-0002-5002-8648	Galician Blond	LBO:0000105										
VBO:0000207	Galloway (Cattle)	LBO:0000106	https://orcid.org/0000-0002-5002-8648	Galloway	LBO:0000106										
VBO:0000209	Gascon (Cattle)	LBO:0000108	https://orcid.org/0000-0002-5002-8648	Gascon	LBO:0000108										
VBO:0000211	Gelbrah (Cattle)	LBO:0000109	https://orcid.org/0000-0002-5002-8648	Gelbray	LBO:0000109										
VBO:0000212	Gelbvieh (Cattle)	LBO:0000110	https://orcid.org/0000-0002-5002-8648	Gelbvieh	LBO:0000110										
VBO:0000215	Gir (Cattle)	LBO:0000113	https://orcid.org/0000-0002-5002-8648	Gir	LBO:0000113										
VBO:0000216	Girolando (Cattle)	LBO:0001094	https://orcid.org/0000-0002-5002-8648	Girolando	LBO:0001094									Brazilian dairy breed created by crossing Gir and Holstein (3/8 Gir, 5/8 Holstein)	LBO:0001094
VBO:0000217	Glan (Cattle)	LBO:0000114	https://orcid.org/0000-0002-5002-8648	Glan	LBO:0000114										
VBO:0000219	Gloucester (Cattle)	LBO:0000115	https://orcid.org/0000-0002-5002-8648	Gloucester	LBO:0000115										
VBO:0000221	Goudali (Cattle)	LBO:0000120	https://orcid.org/0000-0002-5002-8648	Gudali	LBO:0000120										
VBO:0000224	Greek Shorthorn (Cattle)	LBO:0000117	https://orcid.org/0000-0002-5002-8648	Greek Shorthorn	LBO:0000117										
VBO:0000225	Groningen White-Headed (Cattle)	LBO:0000119	https://orcid.org/0000-0002-5002-8648	Groningen Whiteheaded	LBO:0000119	Groningen	LBO:0000119								
VBO:0000227	Guernsey (Cattle)	LBO:0000121	https://orcid.org/0000-0002-5002-8648	Guernsey	LBO:0000121										
VBO:0000228	Guzerat (Cattle)	LBO:0000122	https://orcid.org/0000-0002-5002-8648	Guzerat	LBO:0000122										
VBO:0000229	Hanwoo (Cattle)	LBO:0000942	https://orcid.org/0000-0002-5002-8648	Hanwoo	LBO:0000942										
VBO:0000230	Hariana (Cattle)	LBO:0000124	https://orcid.org/0000-0002-5002-8648	Hariana	LBO:0000124										
VBO:0000232	Hereford (Cattle)	LBO:0000127	https://orcid.org/0000-0002-5002-8648	Hereford	LBO:0000127										
VBO:0000233	Herens (Cattle)	LBO:0000128	https://orcid.org/0000-0002-5002-8648	Herens	LBO:0000128										
VBO:0000234	Highland (Cattle)	LBO:0000129	https://orcid.org/0000-0002-5002-8648	Highland	LBO:0000129										
VBO:0000235	Hinterwald (Cattle)	LBO:0000130	https://orcid.org/0000-0002-5002-8648	Hinterwald	LBO:0000130										
VBO:0000239	Holstein Friesian (Cattle)	LBO:0000132	https://orcid.org/0000-0002-5002-8648	Holstein	LBO:0000132										
VBO:0000241	Hungarian Grey (Cattle)	LBO:0000134	https://orcid.org/0000-0002-5002-8648	Hungarian Grey	LBO:0000134										
VBO:0000242	Icelandic Cattle (Cattle)	LBO:0000135	https://orcid.org/0000-0002-5002-8648	Icelandic	LBO:0000135										
VBO:0000243	Illawarra Shorthorn (Cattle)	LBO:0000136	https://orcid.org/0000-0002-5002-8648	Illawarra	LBO:0000136										
VBO:0000244	Indo-Brasilian (Cattle)	LBO:0000137	https://orcid.org/0000-0002-5002-8648	Indo-Brazilian	LBO:0000137										
VBO:0000246	Irish Moiled (Cattle)	LBO:0000138	https://orcid.org/0000-0002-5002-8648	Irish Moiled	LBO:0000138										
VBO:0000247	Istoben (Cattle)	LBO:0000141	https://orcid.org/0000-0002-5002-8648	Istoben	LBO:0000141										
VBO:0000248	Jamaica Hope (Cattle)	LBO:0000143	https://orcid.org/0000-0002-5002-8648	Jamaica Hope	LBO:0000143										
VBO:0000250	Jersey (Cattle)	LBO:0000146	https://orcid.org/0000-0002-5002-8648	Jersey	LBO:0000146										
VBO:0000254	Kangayam (Cattle)	LBO:0000147	https://orcid.org/0000-0002-5002-8648	Kangayam	LBO:0000147										
VBO:0000255	Katerini (Cattle)	LBO:0000118	https://orcid.org/0000-0002-5002-8648	Greek Steppe	LBO:0000118										
VBO:0000256	Kazakh (Cattle)	LBO:0000151	https://orcid.org/0000-0002-5002-8648	Kazakh	LBO:0000151										
VBO:0000257	Kazakh Whiteheaded (Cattle)	LBO:0001078	https://orcid.org/0000-0002-5002-8648	Kazakh Whiteheaded	LBO:0001078									Hardy beef breed from Russia and Kazakhstan.	LBO:0001078
VBO:0000258	Kerry (Cattle)	LBO:0000153	https://orcid.org/0000-0002-5002-8648	Kerry	LBO:0000153										
VBO:0000259	Khillari (Cattle)	LBO:0000155	https://orcid.org/0000-0002-5002-8648	Khillari	LBO:0000155										
VBO:0000260	Kholmogory (Cattle)	LBO:0000156	https://orcid.org/0000-0002-5002-8648	Kholmogory	LBO:0000156										
VBO:0000263	Kurdi (Cattle)	LBO:0000159	https://orcid.org/0000-0002-5002-8648	Kurdi	LBO:0000159	Kurdi Black	LBO:0000159								
VBO:0000265	Kuri (Cattle)	LBO:0000160	https://orcid.org/0000-0002-5002-8648	Kuri	LBO:0000160										
VBO:0000268	Latvian Brown (Cattle)	LBO:0000161	https://orcid.org/0000-0002-5002-8648	Latvian Brown	LBO:0000161										
VBO:0000274	Limousin (Cattle)	LBO:0000162	https://orcid.org/0000-0002-5002-8648	Limousin	LBO:0000162										
VBO:0000275	Limpurger (Cattle)	LBO:0000163	https://orcid.org/0000-0002-5002-8648	Limpurger	LBO:0000163										
VBO:0000276	Lincoln Red (Cattle)	LBO:0000164	https://orcid.org/0000-0002-5002-8648	Lincoln Red	LBO:0000164										
VBO:0000277	Lithuanian Red (LR) (Cattle)	LBO:0000165	https://orcid.org/0000-0002-5002-8648	Lithuanian Red	LBO:0000165										
VBO:0000279	Lourdais (Cattle)	LBO:0000167	https://orcid.org/0000-0002-5002-8648	Lourdais	LBO:0000167										
VBO:0000282	Luing (Cattle)	LBO:0000168	https://orcid.org/0000-0002-5002-8648	Luing	LBO:0000168										
VBO:0000285	Maas-Rijn-Ijssel (Cattle)	LBO:0000179	https://orcid.org/0000-0002-5002-8648	Meuse-Rhine-Yssel	LBO:0000179										
VBO:0000286	Maine-Anjou (Cattle)	LBO:0000170	https://orcid.org/0000-0002-5002-8648	Maine Anjou	LBO:0000170	Maine-Anjou	LBO:0000170								
VBO:0000291	Marchigiana (Cattle)	LBO:0000173	https://orcid.org/0000-0002-5002-8648	Marchigiana	LBO:0000173										
VBO:0000293	Masai (Cattle)	LBO:0000175	https://orcid.org/0000-0002-5002-8648	Masai	LBO:0000175										
VBO:0000294	Mashona (Cattle)	LBO:0000176	https://orcid.org/0000-0002-5002-8648	Mashona	LBO:0000176										
VBO:0000295	Maure (Cattle)	LBO:0000177	https://orcid.org/0000-0002-5002-8648	Maure	LBO:0000177										
VBO:0000298	Milking Devon (Cattle)	LBO:0000181	https://orcid.org/0000-0002-5002-8648	Milking Devon	LBO:0000181										
VBO:0000299	Milking Shorthorn (Cattle)	LBO:0000182	https://orcid.org/0000-0002-5002-8648	Milking Shorthorn	LBO:0000182										
VBO:0000300	Mirandesa (Cattle)	LBO:0000183	https://orcid.org/0000-0002-5002-8648	Mirandesa	LBO:0000183										
VBO:0000302	Modicana (Cattle)	LBO:0000184	https://orcid.org/0000-0002-5002-8648	Modicana	LBO:0000184										
VBO:0000304	Mongolian (Cattle)	LBO:0000185	https://orcid.org/0000-0002-5002-8648	Mongolian	LBO:0000185	Chinese Mongolian	LBO:0000185								
VBO:0000306	Montbéliarde (Cattle)	LBO:0000186	https://orcid.org/0000-0002-5002-8648	Montbeliarde	LBO:0000186										
VBO:0000307	Morucha (Cattle)	LBO:0000187	https://orcid.org/0000-0002-5002-8648	Morucha	LBO:0000187										
VBO:0000309	Murboden (Cattle)	LBO:0000188	https://orcid.org/0000-0002-5002-8648	Murboden	LBO:0000188										
VBO:0000312	Murray Grey (Cattle)	LBO:0000189	https://orcid.org/0000-0002-5002-8648	Murray Grey	LBO:0000189										
VBO:0000314	Muturu (Cattle)	LBO:0000190	https://orcid.org/0000-0002-5002-8648	Muturu	LBO:0000190										
VBO:0000315	N'dama (Cattle)	LBO:0000193	https://orcid.org/0000-0002-5002-8648	N'dama	LBO:0000193										
VBO:0000318	Nelore (Cattle)	LBO:0000194	https://orcid.org/0000-0002-5002-8648	Nelore	LBO:0000194										
VBO:0000319	Nguni (Cattle)	LBO:0000195	https://orcid.org/0000-0002-5002-8648	Nguni	LBO:0000195										
VBO:0000322	Normande (Cattle)	LBO:0000197	https://orcid.org/0000-0002-5002-8648	Normande	LBO:0000197										
VBO:0000323	Norwegian Red (Cattle)	LBO:0000198	https://orcid.org/0000-0002-5002-8648	Norwegian Red	LBO:0000198										
VBO:0000324	Ongole (Cattle)	LBO:0000199	https://orcid.org/0000-0002-5002-8648	Ongole	LBO:0000199										
VBO:0000330	Parthenais (Cattle)	LBO:0000203	https://orcid.org/0000-0002-5002-8648	Parthenais	LBO:0000203										
VBO:0000332	Piedmont (Cattle)	LBO:0000208	https://orcid.org/0000-0002-5002-8648	Piedmontese	LBO:0000208										
VBO:0000334	Pinzgau (Cattle)	LBO:0000209	https://orcid.org/0000-0002-5002-8648	Pinzgauer	LBO:0000209										
VBO:0000338	Polish Red (Cattle)	LBO:0000205	https://orcid.org/0000-0002-5002-8648	Polish Red	LBO:0000205										
VBO:0000341	Polled Hereford (Cattle)	LBO:0000206	https://orcid.org/0000-0002-5002-8648	Polled Hereford	LBO:0000206										
VBO:0000350	Red Angus (Cattle)	LBO:0000214	https://orcid.org/0000-0002-5002-8648	Red Angus	LBO:0000214										
VBO:0000351	Red Bororo (Cattle)	LBO:0000216	https://orcid.org/0000-0002-5002-8648	Red Fulani	LBO:0000216										
VBO:0000352	Red Brangus (Cattle)	LBO:0000215	https://orcid.org/0000-0002-5002-8648	Red Brangus	LBO:0000215										
VBO:0000355	Red Poll (Cattle)	LBO:0000218	https://orcid.org/0000-0002-5002-8648	Red Poll	LBO:0000218										
VBO:0000356	Red Sindhi (Cattle)	LBO:0000220	https://orcid.org/0000-0002-5002-8648	Red Sindhi	LBO:0000220										
VBO:0000357	Red Steppe (Cattle)	LBO:0000221	https://orcid.org/0000-0002-5002-8648	Red Steppe	LBO:0000221										
VBO:0000358	Retinta (Cattle)	LBO:0000223	https://orcid.org/0000-0002-5002-8648	Retinta	LBO:0000223										
VBO:0000360	Romagnola (Cattle)	LBO:0000225	https://orcid.org/0000-0002-5002-8648	Romagnola	LBO:0000225										
VBO:0000361	Romanian Brown (Cattle)	LBO:0001116	https://orcid.org/0000-0002-5002-8648	Romanian Brown	LBO:0001116	Bruna de Maramures	LBO:0001116							Local Romanian milk breed, the result of crossbreeding between Braunvieh and local Mocanita and Grey cattle.	LBO:0001116
VBO:0000365	Sahiwal (Cattle)	LBO:0000229	https://orcid.org/0000-0002-5002-8648	Sahiwal	LBO:0000229										
VBO:0000366	Salers (Cattle)	LBO:0000230	https://orcid.org/0000-0002-5002-8648	Salers	LBO:0000230										
VBO:0000368	Santa Gertrudis (Cattle)	LBO:0000234	https://orcid.org/0000-0002-5002-8648	Santa Gertrudis	LBO:0000234										
VBO:0000371	Senepol (Cattle)	LBO:0000237	https://orcid.org/0000-0002-5002-8648	Senepol	LBO:0000237										
VBO:0000374	Shetland (Cattle)	LBO:0000239	https://orcid.org/0000-0002-5002-8648	Shetland	LBO:0000239										
VBO:0000375	Shorthorn (Cattle)	LBO:0000240	https://orcid.org/0000-0002-5002-8648	Shorthorn	LBO:0000240										
VBO:0000377	Siboney (Cattle)	LBO:0000241	https://orcid.org/0000-0002-5002-8648	Siboney	LBO:0000241										
VBO:0000378	Simbrah (Cattle)	LBO:0000242	https://orcid.org/0000-0002-5002-8648	Simbrah	LBO:0000242										
VBO:0000380	Simmental (Cattle)	LBO:0000243	https://orcid.org/0000-0002-5002-8648	Simmental	LBO:0000243										
VBO:0000380	Simmental (Cattle)	LBO:0000941	https://orcid.org/0000-0002-9178-3965	Fleckvieh	LBO:0000941										
VBO:0000381	Siri (Cattle)	LBO:0000244	https://orcid.org/0000-0002-5002-8648	Siri	LBO:0000244										
VBO:0000385	South Devon (Cattle)	LBO:0000246	https://orcid.org/0000-0002-5002-8648	South Devon	LBO:0000246										
VBO:0000389	Sussex (Cattle)	LBO:0000247	https://orcid.org/0000-0002-5002-8648	Sussex	LBO:0000247										
VBO:0000390	Svensk Fjällras (Cattle)	LBO:0000101	https://orcid.org/0000-0002-5002-8648	Fjall	LBO:0000101										
VBO:0000392	Swedish Red and White (Cattle)	LBO:0000249	https://orcid.org/0000-0002-5002-8648	Swedish Red-and-White	LBO:0000249										
VBO:0000402	Tarentaise (Cattle)	LBO:0000251	https://orcid.org/0000-0002-5002-8648	Tarentaise	LBO:0000251										
VBO:0000404	Texas Longhorn (Cattle)	LBO:0000253	https://orcid.org/0000-0002-5002-8648	Texas Longhorn	LBO:0000253										
VBO:0000405	Thari (Cattle)	LBO:0000255	https://orcid.org/0000-0002-5002-8648	Tharparker	LBO:0000255										
VBO:0000413	Tswana (Cattle)	LBO:0000256	https://orcid.org/0000-0002-5002-8648	Tswana	LBO:0000256										
VBO:0000415	Tuli (Cattle)	LBO:0000257	https://orcid.org/0000-0002-5002-8648	Tuli	LBO:0000257										
VBO:0000416	Tyrolean Grey (Cattle)	LBO:0001103	https://orcid.org/0000-0002-5002-8648	Alpine Gray	LBO:0001103	Grigio alpina	LBO:0001103								
VBO:0000421	Vosges (Cattle)	LBO:0000266	https://orcid.org/0000-0002-5002-8648	Vosges	LBO:0000266										
VBO:0000422	Wagyu (Cattle)	LBO:0000267	https://orcid.org/0000-0002-5002-8648	Wagyu	LBO:0000267										
VBO:0000424	Welsh Black (Cattle)	LBO:0000268	https://orcid.org/0000-0002-5002-8648	Welsh Black	LBO:0000268										
VBO:0000425	West African Zebu (Cattle)	LBO:0000104	https://orcid.org/0000-0002-5002-8648	Fulani Sudanese	LBO:0000104										
VBO:0000429	White Park (Cattle)	LBO:0000269	https://orcid.org/0000-0002-5002-8648	White Park	LBO:0000269										
VBO:0000441	Ancona (Chicken)	LBO:0000273	https://orcid.org/0000-0002-5002-8648	Ancona	LBO:0000273										
VBO:0000442	Andalusian (Chicken)	LBO:0000274	https://orcid.org/0000-0002-5002-8648	Andalusian	LBO:0000274										
VBO:0000445	Araucana (Chicken)	LBO:0000277	https://orcid.org/0000-0002-5002-8648	Araucana	LBO:0000277										
VBO:0000446	Aseel (Chicken)	LBO:0000278	https://orcid.org/0000-0002-5002-8648	Aseel	LBO:0000278										
VBO:0000448	Australorp (Chicken)	LBO:0000279	https://orcid.org/0000-0002-5002-8648	Australorp	LBO:0000279										
VBO:0000466	Campine (Chicken)	LBO:0000286	https://orcid.org/0000-0002-5002-8648	Campine	LBO:0000286										
VBO:0000467	Catalana Del Prat (Chicken)	LBO:0000287	https://orcid.org/0000-0002-5002-8648	Catalana	LBO:0000287	Catalana del Prat Lleonada	LBO:0000287								
VBO:0000468	Chantecler (Chicken)	LBO:0000288	https://orcid.org/0000-0002-5002-8648	Chantecler	LBO:0000288										
VBO:0000469	Cochin (Chicken)	LBO:0000289	https://orcid.org/0000-0002-5002-8648	Cochin	LBO:0000289										
VBO:0000516	Cornish (Chicken)	LBO:0000290	https://orcid.org/0000-0002-5002-8648	Cornish	LBO:0000290										
VBO:0000522	Dorking (Chicken)	LBO:0000295	https://orcid.org/0000-0002-5002-8648	Dorking	LBO:0000295										
VBO:0000528	Fayoumi (Chicken)	LBO:0000697	https://orcid.org/0000-0002-5002-8648	Fayoumi	LBO:0000697										
VBO:0000529	Friesland (Chicken)	LBO:0000298	https://orcid.org/0000-0002-5002-8648	Frieslands	LBO:0000298	Friesland	LBO:0000298								
VBO:0000530	Frizzle (Chicken)	LBO:0000299	https://orcid.org/0000-0002-5002-8648	Frizzle	LBO:0000299										
VBO:0000534	Hamburg (Chicken)	LBO:0000303	https://orcid.org/0000-0002-5002-8648	Hamburgs	LBO:0000303	Hamburg	LBO:0000303								
VBO:0000537	Holland (Chicken)	LBO:0000304	https://orcid.org/0000-0002-5002-8648	Holland	LBO:0000304										
VBO:0000538	Houdan (Chicken)	LBO:0000305	https://orcid.org/0000-0002-5002-8648	Houdan	LBO:0000305										
VBO:0000547	Jersey Giant (Chicken)	LBO:0000307	https://orcid.org/0000-0002-5002-8648	Jersey Giant	LBO:0000307										
VBO:0000548	Jungle Fowl (Chicken)	LBO:0000308	https://orcid.org/0000-0002-5002-8648	Jungle Fowl	LBO:0000308										
VBO:0000556	Lakenvelder (Chicken)	LBO:0000312	https://orcid.org/0000-0002-5002-8648	Lakenvelder	LBO:0000312										
VBO:0000558	Langshan (Chicken)	LBO:0000314	https://orcid.org/0000-0002-5002-8648	Langshan	LBO:0000314										
VBO:0000572	Minorca (Chicken)	LBO:0000318	https://orcid.org/0000-0002-5002-8648	Minorca	LBO:0000318										
VBO:0000573	Modern Game (Chicken)	LBO:0000319	https://orcid.org/0000-0002-5002-8648	Modern Game	LBO:0000319										
VBO:0000580	New Hampshire Red (Chicken)	LBO:0000321	https://orcid.org/0000-0002-5002-8648	New Hampshire Red	LBO:0000321										
VBO:0000582	North Holland Blue (Chicken)	LBO:0000698	https://orcid.org/0000-0002-5002-8648	North Holland Blue	LBO:0000698										
VBO:0000583	Old English Game (Chicken)	LBO:0000322	https://orcid.org/0000-0002-5002-8648	Old English Game	LBO:0000322										
VBO:0000588	Orpington (Chicken)	LBO:0000323	https://orcid.org/0000-0002-5002-8648	Orpington	LBO:0000323										
VBO:0000592	Plymouth Rock (Chicken)	LBO:0000324	https://orcid.org/0000-0002-5002-8648	Plymouth Rock	LBO:0000324										
VBO:0000596	Polish (Chicken)	LBO:0000325	https://orcid.org/0000-0002-5002-8648	Polish	LBO:0000325										
VBO:0000599	Rhode Island Red (Chicken)	LBO:0000327	https://orcid.org/0000-0002-5002-8648	Rhode Island Red	LBO:0000327										
VBO:0000617	Shamo (Chicken)	LBO:0000700	https://orcid.org/0000-0002-5002-8648	Shamo	LBO:0000700										
VBO:0000628	Sultan (Chicken)	LBO:0000331	https://orcid.org/0000-0002-5002-8648	Sultan	LBO:0000331										
VBO:0000629	Sumatra (Chicken)	LBO:0000332	https://orcid.org/0000-0002-5002-8648	Sumatra	LBO:0000332										
VBO:0000630	Sussex (Chicken)	LBO:0000333	https://orcid.org/0000-0002-5002-8648	Sussex	LBO:0000333										
VBO:0000639	Transylvanian Naked Neck (Chicken)	LBO:0000320	https://orcid.org/0000-0002-5002-8648	Turken	LBO:0000320	Transylvanian Naked Neck|Naked Neck	LBO:0000320								
VBO:0000646	White Leghorn (Chicken)	LBO:0001061	https://orcid.org/0000-0002-5002-8648	White Leghorn	LBO:0001061										
VBO:0000647	Wyandotte (Chicken)	LBO:0000336	https://orcid.org/0000-0002-5002-8648	Wyandottes	LBO:0000336	Wyandotte	LBO:0000336								
VBO:0000717	Alpine (Goat)	LBO:0000955	https://orcid.org/0000-0002-5002-8648	Alpine	LBO:0000955										
VBO:0000718	Altai Mountain (Goat)	LBO:0000956	https://orcid.org/0000-0002-5002-8648	Altai Mountain	LBO:0000956										
VBO:0000722	Anglo-Nubian (Goat)	LBO:0000958	https://orcid.org/0000-0002-5002-8648	Anglo-Nubian	LBO:0000958	Nubian	LBO:0000958								
VBO:0000723	Angora (Goat)	LBO:0000959	https://orcid.org/0000-0002-5002-8648	Angora	LBO:0000959										
VBO:0000724	Appenzell (Goat)	LBO:0000960	https://orcid.org/0000-0002-5002-8648	Appenzell	LBO:0000960										
VBO:0000727	Bagot (Goat)	LBO:0000963	https://orcid.org/0000-0002-5002-8648	Bagot	LBO:0000963										
VBO:0000728	Barbari (Goat)	LBO:0000964	https://orcid.org/0000-0002-5002-8648	Barbari	LBO:0000964										
VBO:0000729	Beetal (Goat)	LBO:0000965	https://orcid.org/0000-0002-5002-8648	Beetal	LBO:0000965										
VBO:0000730	Belgian Fawn (Goat)	LBO:0000966	https://orcid.org/0000-0002-5002-8648	Belgian Fawn	LBO:0000966										
VBO:0000736	Boer (Goat)	LBO:0000969	https://orcid.org/0000-0002-5002-8648	Boer	LBO:0000969										
